"","公司全名","更新日期","專利號","申請日","獲證日","PR","標題","專利摘要","預測年份","主分支","台灣公開發行","技術分類","股票代碼","產業別","資料時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本","市值權重%","趨勢機率%"
"1","三竹資訊","2025-01-16","TWI844359B","2023-05-11","2024-06-01",63,"最佳五檔量能視覺化與委託單標記之裝置、方法與電腦程式產品","一種最佳五檔量能視覺化與委託單標記之裝置與方法。該裝置包含：一記憶體、一螢幕及一或多個處理器。該記憶體儲存一應用程式，該應用程式包含：一最佳五檔報價模組、一資料視覺化模組、一交易模組與一第二委託單標記模組。該螢幕用以顯示該應用程式之圖形化使用者介面。該一或多個處理器連接該記憶體與該螢幕並執行該應用程式。其中，該最佳五檔報價模組自一伺服器下載一金融商品之一報價電文，該資料視覺化模組依據該報價電文產生一量能線圖，該交易模組產生一第二委託單，該第二委託單標記模組下載對應該第二委託單之一委託回報電文並產生一第二委託單標記顯示於該量能線圖。本發明讓使用者透過最佳五檔量能線圖可快速辨識出最佳五檔各檔之委託單量能變化以及自己的第二委託單所在位置。","Y2024","main","Yes","數據分析技術","8284","資訊服務業","2025-01-15",0.6,10.63,3,0.24,10.76,27.38,60.6,NA,66.4,64.7,63.5,0.00383,70.7
"2","三竹資訊","2025-01-16","TWI830437B","2022-10-14","2024-01-21",94,"圖像式標註股票交易資訊筆記本之裝置與方法、電腦程式產品及電腦可讀取記錄媒體","一種圖像式標註股票交易資訊筆記本之裝置與方法，電腦程式產品及電腦可讀取記錄媒體。該方法包含：產生筆記本視圖用以記錄金融商品之交易筆記；顯示對應金融商品之交易明細輸入視窗；與報價伺服器建立連線以接收金融商品之報價電文；交易明細輸入視窗讀取報價電文之成交價；接收買賣別、成交價及股票數量之輸入並記錄為交易明細資訊；依據報價電文產生技術線圖；產生代表交易筆記之筆記圖示並標註於技術線圖之時間軸之相對應時間位置；及，產生代表交易明細資訊之交易圖示並標註於技術線圖之相對應價位位置。","Y2024","main","Yes","數據分析技術","8284","資訊服務業","2025-01-15",0.6,10.63,3,0.24,10.76,27.38,60.6,NA,66.4,64.7,63.5,0.00383,70.7
"3","上詮光纖通信","2025-01-16","TWI842485B","2023-04-20","2024-05-11",57,"可插拔式光學封裝結構","一種可插拔式光學封裝結構，包括：一基板、一承載環、至少一光學連接組件，及一蓋板，該基板上設有至少一電子晶粒及至少一光學晶粒；該承載環位在該基板上，該電子晶粒與該光學晶粒於該承載環合圍的區域內；該光學連接組件包括插座、接頭、複數根光纖及光纖陣列連接器，該插座位在該承載環局部區段，該接頭插入該插座內，該複數根光纖一端耦接於該接頭，另一端耦接於該光纖陣列連接器，並由該光纖陣列連接器與該光學晶粒相耦接；該蓋板位在該承載環上，且向內延伸至該光學晶粒上方，藉此結構有於利於在封裝作業中無光纖外露情形，有助於組裝作業的進行且能提升良率。","Y2024","main","Yes","封裝技術","3363","通信網路業","2025-01-15",0.08,-8.63,10,16.59,-14.56,-220.37,291.1,238.1,217.6,296,255.2,0.03919,32.5
"4","上詮光纖通信","2025-01-16","TWI842485B","2023-04-20","2024-05-11",57,"可插拔式光學封裝結構","一種可插拔式光學封裝結構，包括：一基板、一承載環、至少一光學連接組件，及一蓋板，該基板上設有至少一電子晶粒及至少一光學晶粒；該承載環位在該基板上，該電子晶粒與該光學晶粒於該承載環合圍的區域內；該光學連接組件包括插座、接頭、複數根光纖及光纖陣列連接器，該插座位在該承載環局部區段，該接頭插入該插座內，該複數根光纖一端耦接於該接頭，另一端耦接於該光纖陣列連接器，並由該光纖陣列連接器與該光學晶粒相耦接；該蓋板位在該承載環上，且向內延伸至該光學晶粒上方，藉此結構有於利於在封裝作業中無光纖外露情形，有助於組裝作業的進行且能提升良率。","Y2024","main","Yes","半導體封裝技術","3363","通信網路業","2025-01-15",0.08,-8.63,10,16.59,-14.56,-220.37,291.1,238.1,217.6,296,255.2,0.03919,32.5
"5","世界先進積體電路","2025-01-16","TWI838929B","2022-10-28","2024-04-11",63,"半導體裝置及其製造方法","一種半導體裝置包括磊晶層、至少一個閘極溝槽和至少一個溝槽閘極結構。閘極溝槽包括下閘極溝槽和上閘極溝槽，並且下閘極溝槽的寬度小於上閘極溝槽的寬度。溝槽閘極結構設置在閘極溝槽中，並且溝槽閘極結構包括底閘極結構、中閘極結構和頂閘極結構。中閘極結構的第二閘極介電層的厚度小於底閘極結構的第一閘極介電層的厚度。頂閘極結構的第三閘極介電層的厚度小於中閘極結構的第二閘極介電層的厚度。第一閘極電極、第二閘極電極和第三閘極電極彼此分離。","Y2024","main","Yes","電路板製造","5347","半導體","2025-01-15",0.4,22.61,7,11.81,22.39,33.9,99.2,100.2,95.9,93.7,98.9,0.22346,70.6
"6","世界先進積體電路","2025-01-16","TWI838840B","2022-08-31","2024-04-11",65,"晶圓後段製程的處理方法及晶圓級半導體結構","一種晶圓後段製程的處理方法，包含提供晶圓，晶圓包括相對設置的正面和背面，其中在晶圓的正面和背面之間形成有複數個半導體元件，互連結構層形成於該些半導體元件上，且晶圓被複數條切割道劃分成複數個晶粒單元，施行研磨製程從晶圓的背面將晶圓薄化，沿著該些條切割道，將互連結構層的一部分和該晶圓的一部分去除，以在晶圓的正面形成凹槽，以及在晶圓薄化且形成凹槽後，在晶圓的背面上形成導電層，其中導電層縱向分離於凹槽的底面。","Y2024","main","Yes","封裝技術","5347","半導體","2025-01-15",0.4,22.61,7,11.81,22.39,33.9,99.2,100.2,95.9,93.7,98.9,0.22346,70.6
"7","世界先進積體電路","2025-01-16","TWI834173B","2022-05-26","2024-03-01",92,"半導體裝置及其製造方法","一種半導體裝置，包含基底、第一埋層、第二埋層、第一井區、第二井區、深溝槽隔離結構、源極區、汲極區及閘極電極。第一埋層和第二埋層皆具有第一導電類型，並設置於基底中，且第二埋層設置於第一埋層上，第一井區具有第一導電類型，設置於第二埋層上方，第二井區具有第二導電類型，鄰接第一井區，深溝槽隔離結構設置於基底中，圍繞第一井區和第二井區，且深溝槽隔離結構的底面低於第一埋層的底面，源極區設置於第二井區中，汲極區設置於第一井區中，閘極電極設置於第一井區和第二井區上。","Y2024","main","Yes","半導體封裝技術","5347","半導體","2025-01-15",0.4,22.61,7,11.81,22.39,33.9,99.2,100.2,95.9,93.7,98.9,0.22346,70.6
"8","世界先進積體電路","2025-01-16","TWI813420B","2022-08-19","2023-08-21",42,"半導體結構","一種半導體結構，包括一基底、一第一井區、一第二井區、一間隔區、一屏蔽結構、一摻雜區、一第一金屬結構以及一第二金屬結構。基底具有一第一導電型。第一井區形成於基底之中，並具有第一導電型。第二井區形成於基底之中，並具有一第二導電型。間隔區位於第一及第二井區之間，用以分隔第一及第二井區。屏蔽結構位於間隔區之上，並重疊間隔區。摻雜區形成於第二井區之中，並具有第二導電型。第一金屬結構電性連接摻雜區。第二金屬結構電性連接第一金屬結構。","Y2024","main","Yes","電路板製造","5347","半導體","2025-01-15",0.4,22.61,7,11.81,22.39,33.9,99.2,100.2,95.9,93.7,98.9,0.22346,70.6
"9","世界先進積體電路","2025-01-16","TWI836520B","2022-07-21","2024-03-21",64,"半導體裝置及其製造方法","一種半導體裝置，包含第一導電類型的磊晶層設置於基底的表面上，溝槽設置於磊晶層中，閘極結構設置於溝槽內，包含上方導電部和下方導電部，介電分隔部設置於上方導電部和下方導電部之間，介電襯層設置於溝槽內且圍繞閘極結構，介電襯層具有開口位於溝槽的底面，下方導電部的一部分填充於開口中，且下方導電部與磊晶層的一部份構成蕭特基能障二極體，第二導電類型的摻雜區設置於磊晶層中，且位於溝槽的底面下和下方導電部的一側，其中磊晶層的上述部份和摻雜區的一部分皆與下方導電部接觸。","Y2024","main","Yes","電路板製造","5347","半導體","2025-01-15",0.4,22.61,7,11.81,22.39,33.9,99.2,100.2,95.9,93.7,98.9,0.22346,70.6
"10","世界先進積體電路","2025-01-16","TWI836757B","2022-11-30","2024-03-21",56,"光感測裝置","本發明實施例提供光感測裝置。光感測裝置包括半導體基板、隔離部件、第一摻雜區、第二摻雜區以及第三摻雜區。半導體基板具有第一導電類型。半導體基板包括感測區以及圍繞感測區的隔離區。第一摻雜區位於感測區中。第一摻雜區具有第二導電類型。第二摻雜區位於感測區中，且位於第一摻雜區上方。第二摻雜區具有第二導電類型。第三摻雜區位於感測區中，且位於第二摻雜區上。第三摻雜區具有第一導電類型。在剖面圖中，第一摻雜區具有第一長度，第二摻雜區具有第二長度，第二長度與第一長度的第一比值大於0且小於1。","Y2024","main","Yes","感測技術","5347","半導體","2025-01-15",0.4,22.61,7,11.81,22.39,33.9,99.2,100.2,95.9,93.7,98.9,0.22346,70.6
