"","公司全名","更新日期","專利號","申請日","獲證日","PR","標題","專利摘要","預測年份","主分支","台灣公開發行","技術分類","股票代碼","產業別","資料時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本","市值權重%","趨勢機率%"
"1","三竹資訊","2024-11-18","TWI830437B","2022-10-14","2024-01-21",94,"圖像式標註股票交易資訊筆記本之裝置與方法、電腦程式產品及電腦可讀取記錄媒體","一種圖像式標註股票交易資訊筆記本之裝置與方法，電腦程式產品及電腦可讀取記錄媒體。該方法包含：產生筆記本視圖用以記錄金融商品之交易筆記；顯示對應金融商品之交易明細輸入視窗；與報價伺服器建立連線以接收金融商品之報價電文；交易明細輸入視窗讀取報價電文之成交價；接收買賣別、成交價及股票數量之輸入並記錄為交易明細資訊；依據報價電文產生技術線圖；產生代表交易筆記之筆記圖示並標註於技術線圖之時間軸之相對應時間位置；及，產生代表交易明細資訊之交易圖示並標註於技術線圖之相對應價位位置。","Y2024","main","Yes","資訊安全技術","8284","資訊服務業","2024-12-01",NA,NA,NA,0.24,10.76,27.38,NA,NA,NA,NA,NA,0.00394,54.7
"2","三竹資訊","2024-11-18","TWI822278B","2022-08-26","2023-11-11",78,"分享自訂診斷指標之選股裝置與方法","一種分享自訂診斷指標之選股裝置與方法。該裝置包含：一通訊模組、一診斷指標自訂模組與一診斷排名視圖模組。診斷指標自訂模組，產生診斷指標自訂視圖以接收新增的自訂診斷指標之自訂指標名稱與一至複數個關聯條件之設定，接收分享自訂指令以上傳自訂診斷指標至伺服器；診斷排名視圖模組，自伺服器下載排名清單並據以產生診斷排名視圖，排名清單包含複數個網友分享自訂並以由優至差、由高分至低分或由新至舊之排序方式列出該些網友分享自訂。","Y2024","branch","Yes","其他","8284","資訊服務業","2024-12-01",NA,NA,NA,0.24,10.76,27.38,NA,NA,NA,NA,NA,0.00394,54.7
"3","三竹資訊","2024-11-18","TWI839117B","2023-02-17","2024-04-11",41,"設定語音訊息以防止外洩之裝置與方法","一種設定語音訊息以防止外洩之裝置與方法，應用於一客戶端裝置，該方法包含：客戶端裝置依據帳號與密碼或生物辨識特徵以驗證使用者身份後登入伺服器；客戶端裝置產生訊息視圖以顯示錄音元件與下載屬性設定元件；客戶端裝置接收語音錄製指令後透過麥克風接收語音輸入並錄製成語音訊息；客戶端裝置接收下載屬性設定指令以儲存語音訊息之下載屬性；客戶端裝置接收發送指令以上傳語音訊息以及下載屬性至伺服器。","Y2024","branch","Yes","身分驗證系統","8284","資訊服務業","2024-12-01",NA,NA,NA,0.24,10.76,27.38,NA,NA,NA,NA,NA,0.00394,54.7
"4","三竹資訊","2024-11-18","TWI844359B","2023-05-11","2024-06-01",63,"最佳五檔量能視覺化與委託單標記之裝置、方法與電腦程式產品","一種最佳五檔量能視覺化與委託單標記之裝置與方法。該裝置包含：一記憶體、一螢幕及一或多個處理器。該記憶體儲存一應用程式，該應用程式包含：一最佳五檔報價模組、一資料視覺化模組、一交易模組與一第二委託單標記模組。該螢幕用以顯示該應用程式之圖形化使用者介面。該一或多個處理器連接該記憶體與該螢幕並執行該應用程式。其中，該最佳五檔報價模組自一伺服器下載一金融商品之一報價電文，該資料視覺化模組依據該報價電文產生一量能線圖，該交易模組產生一第二委託單，該第二委託單標記模組下載對應該第二委託單之一委託回報電文並產生一第二委託單標記顯示於該量能線圖。本發明讓使用者透過最佳五檔量能線圖可快速辨識出最佳五檔各檔之委託單量能變化以及自己的第二委託單所在位置。","Y2024","branch","Yes","其他","8284","資訊服務業","2024-12-01",NA,NA,NA,0.24,10.76,27.38,NA,NA,NA,NA,NA,0.00394,54.7
"5","上詮光纖通信","2024-11-18","TWI842485B","2023-04-20","2024-05-11",57,"可插拔式光學封裝結構","一種可插拔式光學封裝結構，包括：一基板、一承載環、至少一光學連接組件，及一蓋板，該基板上設有至少一電子晶粒及至少一光學晶粒；該承載環位在該基板上，該電子晶粒與該光學晶粒於該承載環合圍的區域內；該光學連接組件包括插座、接頭、複數根光纖及光纖陣列連接器，該插座位在該承載環局部區段，該接頭插入該插座內，該複數根光纖一端耦接於該接頭，另一端耦接於該光纖陣列連接器，並由該光纖陣列連接器與該光學晶粒相耦接；該蓋板位在該承載環上，且向內延伸至該光學晶粒上方，藉此結構有於利於在封裝作業中無光纖外露情形，有助於組裝作業的進行且能提升良率。","Y2024","main","Yes","半導體結構","3363","通信網路業","2024-12-01",NA,NA,NA,16.59,-14.56,-220.37,NA,NA,NA,NA,NA,0.02715,15.8
"6","世界先進積體電路","2024-11-18","TWI823418B","2022-06-09","2023-11-21",98,"靜電放電保護電路","一種靜電放電（ESD）保護電路，其耦接接合墊與核心電路且包括ESD偵測電路、放電電路、開關、及控制電路。ESD偵測電路偵測在接合墊上是否發生ESD事件以在第一節點產生第一偵測信號。放電電路接收第一偵測信號且將第一偵測信號進行反相以產生第二偵測信號。當在接合墊上發生ESD事件，放電電路根據第二偵測信號提供介於接合墊與接地端之間的放電路徑。開關受控於控制信號。控制電路耦接於第一節點以接收第一偵測信號，且接收第二偵測信號，並根據第一與第二偵測信號產生控制信號。當在接合墊上發生ESD事件，控制電路產生控制信號以關斷開關。","Y2024","branch","Yes","其他","5347","半導體","2024-12-01",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.21269,0
"7","世界先進積體電路","2024-11-18","TWI817719B","2022-09-15","2023-10-01",38,"半導體結構及其形成方法","提供一種半導體結構。此半導體結構包含基板、磊晶層、井區、閘極電極、導電結構與源極電極。基板具有第一導電型。磊晶層具有第一導電型並設置於基板上。井區具有不同於第一導電型的第二導電型並設置於磊晶層中。閘極電極設置於井區上。導電結構包含上部與下部，其中下部朝向基板方向延伸至磊晶層中，且上部設置於磊晶層上。源極電極設置於導電結構上。","Y2024","main","Yes","半導體結構","5347","半導體","2024-12-01",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.21269,0
"8","世界先進積體電路","2024-11-18","TWI844342B","2023-04-25","2024-06-01",50,"光學結構及其形成方法","本揭露提供一種光學結構的形成方法，包括：提供一基板，其中該基板包括一下包覆層以及設置於該下包覆層上的一光通道材料層；對該光通道材料層進行至少一局部氧化製程以形成嵌入該光通道材料層的多個氧化部件；以及進行一圖案化製程以將該光通道材料層圖案化為一光通道層，且在該光通道層的頂部具有一弧面，其中該下包覆層的一介電常數小於該光通道層的一介電常數。","Y2024","main","Yes","其他","5347","半導體","2024-12-01",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.21269,0
"9","世界先進積體電路","2024-11-18","TWI813392B","2022-07-22","2023-08-21",82,"半導體裝置及其製作方法","一種半導體裝置，包括絕緣基層、半導體層、絕緣層、隔離溝渠及吸除部位。半導體層及絕緣層依序設置於絕緣基層之上，且隔離溝渠設置於半導體層中且貫穿絕緣層。隔離溝渠由上至下包括第一截面、第二截面及第三截面，第一截面高於絕緣層的底面，第二截面及第三截面低於絕緣層的底面。吸除部位設置於半導體層中且接觸隔離溝渠，吸除部位的頂點低於第二截面。","Y2024","branch","Yes","半導體結構製備","5347","半導體","2024-12-01",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.21269,0
"10","世界先進積體電路","2024-11-18","TWI813420B","2022-08-19","2023-08-21",42,"半導體結構","一種半導體結構，包括一基底、一第一井區、一第二井區、一間隔區、一屏蔽結構、一摻雜區、一第一金屬結構以及一第二金屬結構。基底具有一第一導電型。第一井區形成於基底之中，並具有第一導電型。第二井區形成於基底之中，並具有一第二導電型。間隔區位於第一及第二井區之間，用以分隔第一及第二井區。屏蔽結構位於間隔區之上，並重疊間隔區。摻雜區形成於第二井區之中，並具有第二導電型。第一金屬結構電性連接摻雜區。第二金屬結構電性連接第一金屬結構。","Y2024","branch","Yes","半導體結構製備","5347","半導體","2024-12-01",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.21269,0
