"","公司全名","更新日期","專利號","申請日","獲證日","PR","標題","專利摘要","預測年份","主分支","台灣公開發行","技術分類","股票代碼","產業別","資料時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本","市值權重%","趨勢機率%"
"1","三竹資訊","2024-12-17","TWI844359B","2023-05-11","2024-06-01",63,"最佳五檔量能視覺化與委託單標記之裝置、方法與電腦程式產品","一種最佳五檔量能視覺化與委託單標記之裝置與方法。該裝置包含：一記憶體、一螢幕及一或多個處理器。該記憶體儲存一應用程式，該應用程式包含：一最佳五檔報價模組、一資料視覺化模組、一交易模組與一第二委託單標記模組。該螢幕用以顯示該應用程式之圖形化使用者介面。該一或多個處理器連接該記憶體與該螢幕並執行該應用程式。其中，該最佳五檔報價模組自一伺服器下載一金融商品之一報價電文，該資料視覺化模組依據該報價電文產生一量能線圖，該交易模組產生一第二委託單，該第二委託單標記模組下載對應該第二委託單之一委託回報電文並產生一第二委託單標記顯示於該量能線圖。本發明讓使用者透過最佳五檔量能線圖可快速辨識出最佳五檔各檔之委託單量能變化以及自己的第二委託單所在位置。","Y2024","main","Yes","記憶體控制技術","8284","資訊服務業","2024-12-15",NA,NA,NA,0.24,10.76,27.38,NA,NA,NA,NA,NA,0.00396,54.7
"2","三竹資訊","2024-12-17","TWI839117B","2023-02-17","2024-04-11",41,"設定語音訊息以防止外洩之裝置與方法","一種設定語音訊息以防止外洩之裝置與方法，應用於一客戶端裝置，該方法包含：客戶端裝置依據帳號與密碼或生物辨識特徵以驗證使用者身份後登入伺服器；客戶端裝置產生訊息視圖以顯示錄音元件與下載屬性設定元件；客戶端裝置接收語音錄製指令後透過麥克風接收語音輸入並錄製成語音訊息；客戶端裝置接收下載屬性設定指令以儲存語音訊息之下載屬性；客戶端裝置接收發送指令以上傳語音訊息以及下載屬性至伺服器。","Y2024","branch","Yes","其他","8284","資訊服務業","2024-12-15",NA,NA,NA,0.24,10.76,27.38,NA,NA,NA,NA,NA,0.00396,54.7
"3","三竹資訊","2024-12-17","TWI835566B","2023-02-17","2024-03-11",34,"防止訊息文字內容被複製之裝置與方法","一種防止訊息文字內容被複製之裝置與方法，應用於一客戶端裝置，該方法包含：接收伺服器所傳送之訊息，訊息係包含文字內容；接收複製指令以創建被選取之文字內容的複本，並以金鑰進行加密以產生密文複本，接著將密文複本儲存至剪貼簿；以及，接收解密指令以讀取剪貼簿中的密文複本並以金鑰進行解密，再將解密後的複本寫至應用程式之貼上目的地。本發明使文字類型的訊息被複製後，若貼上至第三方應用程式會以亂碼呈現，若貼上至本發明應用程式中則以解密後的正常明文呈現。","Y2024","main","Yes","其他","8284","資訊服務業","2024-12-15",NA,NA,NA,0.24,10.76,27.38,NA,NA,NA,NA,NA,0.00396,54.7
"4","三竹資訊","2024-12-17","TWI844359B","2023-05-11","2024-06-01",63,"最佳五檔量能視覺化與委託單標記之裝置、方法與電腦程式產品","一種最佳五檔量能視覺化與委託單標記之裝置與方法。該裝置包含：一記憶體、一螢幕及一或多個處理器。該記憶體儲存一應用程式，該應用程式包含：一最佳五檔報價模組、一資料視覺化模組、一交易模組與一第二委託單標記模組。該螢幕用以顯示該應用程式之圖形化使用者介面。該一或多個處理器連接該記憶體與該螢幕並執行該應用程式。其中，該最佳五檔報價模組自一伺服器下載一金融商品之一報價電文，該資料視覺化模組依據該報價電文產生一量能線圖，該交易模組產生一第二委託單，該第二委託單標記模組下載對應該第二委託單之一委託回報電文並產生一第二委託單標記顯示於該量能線圖。本發明讓使用者透過最佳五檔量能線圖可快速辨識出最佳五檔各檔之委託單量能變化以及自己的第二委託單所在位置。","Y2024","main","Yes","智慧城市技術","8284","資訊服務業","2024-12-15",NA,NA,NA,0.24,10.76,27.38,NA,NA,NA,NA,NA,0.00396,54.7
"5","上詮光纖通信","2024-12-17","TWI842485B","2023-04-20","2024-05-11",57,"可插拔式光學封裝結構","一種可插拔式光學封裝結構，包括：一基板、一承載環、至少一光學連接組件，及一蓋板，該基板上設有至少一電子晶粒及至少一光學晶粒；該承載環位在該基板上，該電子晶粒與該光學晶粒於該承載環合圍的區域內；該光學連接組件包括插座、接頭、複數根光纖及光纖陣列連接器，該插座位在該承載環局部區段，該接頭插入該插座內，該複數根光纖一端耦接於該接頭，另一端耦接於該光纖陣列連接器，並由該光纖陣列連接器與該光學晶粒相耦接；該蓋板位在該承載環上，且向內延伸至該光學晶粒上方，藉此結構有於利於在封裝作業中無光纖外露情形，有助於組裝作業的進行且能提升良率。","Y2024","main","Yes","光學元件","3363","通信網路業","2024-12-15",NA,NA,NA,16.59,-14.56,-220.37,NA,NA,NA,NA,NA,0.03084,50.8
"6","世界先進積體電路","2024-12-17","TWI820979B","2022-10-25","2023-11-01",74,"半導體裝置","一種半導體裝置，包含高電子遷移率電晶體設置在環狀主動元件區中，以及電阻器設置在被環狀主動元件區圍繞的被動元件區中。高電子遷移率電晶體包含化合物半導體阻障層的第一部份堆疊在化合物半導體通道層的第一部份上，以及源極電極、閘極電極和汲極電極設置在化合物半導體阻障層的第一部份上。電阻器包含化合物半導體阻障層的第二部份堆疊在化合物半導體通道層的第二部份上，以及輸入端電極設置在化合物半導體阻障層的第二部份上，且位於被動元件區的中心。","Y2024","branch","Yes","半導體元件設計","5347","半導體","2024-12-15",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.22785,0
"7","世界先進積體電路","2024-12-17","TWI813292B","2022-05-17","2023-08-21",50,"半導體元件佈局及佈局改變之檢查方法","一種半導體佈局，包括至少一層以上之半導體佈局層以及一虛設層。每一半導體層具有一佈局圖案。虛設層具有一虛設圖案。一檢查電路單元計算該佈局圖案與虛設圖案之間的布林運算值，並比較此圖案之布林運算值與原始預設值，用以判斷該佈局圖案是否被改變。","Y2024","main","Yes","半導體元件設計","5347","半導體","2024-12-15",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.22785,0
"8","世界先進積體電路","2024-12-17","TWI813392B","2022-07-22","2023-08-21",82,"半導體裝置及其製作方法","一種半導體裝置，包括絕緣基層、半導體層、絕緣層、隔離溝渠及吸除部位。半導體層及絕緣層依序設置於絕緣基層之上，且隔離溝渠設置於半導體層中且貫穿絕緣層。隔離溝渠由上至下包括第一截面、第二截面及第三截面，第一截面高於絕緣層的底面，第二截面及第三截面低於絕緣層的底面。吸除部位設置於半導體層中且接觸隔離溝渠，吸除部位的頂點低於第二截面。","Y2024","main","Yes","半導體裝置","5347","半導體","2024-12-15",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.22785,0
"9","世界先進積體電路","2024-12-17","TWI817691B","2022-09-01","2023-10-01",30,"半導體裝置","本發明實施例提供半導體裝置。半導體裝置包括半導體基板、第一深井區、至少兩個第二井區、至少一隔離結構以及佈植區。第一深井區設置於半導體基板中，其中第一深井區具有第一導電類型。至少兩個第二井區設置於第一深井區上，其中第二井區具有第二導電類型。隔離結構覆蓋部分第一深井區，且圍繞至少部分第二井區。佈植區設置半導體基板頂面下，其中佈植區具有不連續部分，不連續部分與第一深井區部分重疊。","Y2024","branch","Yes","半導體元件設計","5347","半導體","2024-12-15",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.22785,0
"10","世界先進積體電路","2024-12-17","TWI838840B","2022-08-31","2024-04-11",65,"晶圓後段製程的處理方法及晶圓級半導體結構","一種晶圓後段製程的處理方法，包含提供晶圓，晶圓包括相對設置的正面和背面，其中在晶圓的正面和背面之間形成有複數個半導體元件，互連結構層形成於該些半導體元件上，且晶圓被複數條切割道劃分成複數個晶粒單元，施行研磨製程從晶圓的背面將晶圓薄化，沿著該些條切割道，將互連結構層的一部分和該晶圓的一部分去除，以在晶圓的正面形成凹槽，以及在晶圓薄化且形成凹槽後，在晶圓的背面上形成導電層，其中導電層縱向分離於凹槽的底面。","Y2024","main","Yes","半導體元件設計","5347","半導體","2024-12-15",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.22785,0
