"","公司全名","更新日期","專利號","申請日","獲證日","PR","標題","專利摘要","預測年份","主分支","台灣公開發行","技術分類","股票代碼","產業別","資料時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本","市值權重%","趨勢機率%"
"1","三竹資訊","2025-01-03","TWI830437B","2022-10-14","2024-01-21",94,"圖像式標註股票交易資訊筆記本之裝置與方法、電腦程式產品及電腦可讀取記錄媒體","一種圖像式標註股票交易資訊筆記本之裝置與方法，電腦程式產品及電腦可讀取記錄媒體。該方法包含：產生筆記本視圖用以記錄金融商品之交易筆記；顯示對應金融商品之交易明細輸入視窗；與報價伺服器建立連線以接收金融商品之報價電文；交易明細輸入視窗讀取報價電文之成交價；接收買賣別、成交價及股票數量之輸入並記錄為交易明細資訊；依據報價電文產生技術線圖；產生代表交易筆記之筆記圖示並標註於技術線圖之時間軸之相對應時間位置；及，產生代表交易明細資訊之交易圖示並標註於技術線圖之相對應價位位置。","Y2024","main","Yes","其他","8284","資訊服務業","2025-01-01",NA,NA,NA,0.24,10.76,27.38,NA,NA,NA,NA,NA,0.00381,94.8
"2","三竹資訊","2025-01-03","TWI844359B","2023-05-11","2024-06-01",63,"最佳五檔量能視覺化與委託單標記之裝置、方法與電腦程式產品","一種最佳五檔量能視覺化與委託單標記之裝置與方法。該裝置包含：一記憶體、一螢幕及一或多個處理器。該記憶體儲存一應用程式，該應用程式包含：一最佳五檔報價模組、一資料視覺化模組、一交易模組與一第二委託單標記模組。該螢幕用以顯示該應用程式之圖形化使用者介面。該一或多個處理器連接該記憶體與該螢幕並執行該應用程式。其中，該最佳五檔報價模組自一伺服器下載一金融商品之一報價電文，該資料視覺化模組依據該報價電文產生一量能線圖，該交易模組產生一第二委託單，該第二委託單標記模組下載對應該第二委託單之一委託回報電文並產生一第二委託單標記顯示於該量能線圖。本發明讓使用者透過最佳五檔量能線圖可快速辨識出最佳五檔各檔之委託單量能變化以及自己的第二委託單所在位置。","Y2024","main","Yes","資訊處理系統","8284","資訊服務業","2025-01-01",NA,NA,NA,0.24,10.76,27.38,NA,NA,NA,NA,NA,0.00381,94.8
"3","世界先進積體電路","2025-01-03","TWI844185B","2022-12-05","2024-06-01",45,"半導體結構及其形成方法","本揭露提供一種半導體結構，包括：基底，具有第一導電類型；磊晶層，設置於基底上且具有第一導電類型，其中在磊晶層的上部具有突出結構；井區，設置於磊晶層中，且井區具有第二導電類型；絕緣結構，設置於突出結構的側壁上； 上電極層，圍繞突出結構，且上電極層電性連接至磊晶層及井區；以及下電極層，設置於基底下且與磊晶層相對。","Y2024","main","Yes","光學元件","5347","半導體","2025-01-01",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.2326,94.9
"4","世界先進積體電路","2025-01-03","TWI823639B","2022-10-20","2023-11-21",83,"半導體裝置及其形成方法","一種半導體裝置，包括具有一第一導電類型的一基底、形成於前述基底上的一磊晶層、自前述磊晶層的頂表面延伸至磊晶層中的一井區、形成於前述磊晶層中且與前述井區的底表面接觸的一飄移區、一閘極結構以及一導電結構。前述磊晶層具有前述第一導電類型，前述井區具有一第二導電類型，且前述飄移區具有前述第一導電類型。前述閘極結構是自前述磊晶層的前述頂表面延伸穿過前述井區並且接觸前述飄移區。前述導電結構形成於前述飄移區中且位於前述閘極結構的下方，其中前述閘極結構的一閘極介電層分隔前述導電結構和前述閘極結構的一閘極電極。","Y2024","branch","Yes","半導體技術","5347","半導體","2025-01-01",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.2326,94.9
"5","世界先進積體電路","2025-01-03","TWI836689B","2022-11-01","2024-03-21",93,"半導體裝置及其形成方法","一種半導體裝置，包括具有第一導電類型的一基底；形成於前述基底上的一磊晶層，且前述磊晶層具有第一導電類型；自前述磊晶層的頂表面延伸至前述磊晶層中的一溝槽結構，前述溝槽結構包括一導電部以及包覆前述導電部的側壁和底部的一絕緣層；自前述磊晶層的頂表面延伸至前述磊晶層中的一井區，前述井區具有一第二導電類型，且前述井區的第一側壁接觸前述溝槽結構，其中在前述井區的一側和下方為一飄移區，前述飄移區具有第一導電類型且與井區的第二側壁和底表面接觸。半導體裝置更包括形成於前述磊晶層的頂表面上並對應井區的一閘極結構。","Y2024","main","Yes","感光元件基板製造","5347","半導體","2025-01-01",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.2326,94.9
"6","世界先進積體電路","2025-01-03","TWI838929B","2022-10-28","2024-04-11",63,"半導體裝置及其製造方法","一種半導體裝置包括磊晶層、至少一個閘極溝槽和至少一個溝槽閘極結構。閘極溝槽包括下閘極溝槽和上閘極溝槽，並且下閘極溝槽的寬度小於上閘極溝槽的寬度。溝槽閘極結構設置在閘極溝槽中，並且溝槽閘極結構包括底閘極結構、中閘極結構和頂閘極結構。中閘極結構的第二閘極介電層的厚度小於底閘極結構的第一閘極介電層的厚度。頂閘極結構的第三閘極介電層的厚度小於中閘極結構的第二閘極介電層的厚度。第一閘極電極、第二閘極電極和第三閘極電極彼此分離。","Y2024","main","Yes","其他","5347","半導體","2025-01-01",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.2326,94.9
"7","世界先進積體電路","2025-01-03","TWI844185B","2022-12-05","2024-06-01",45,"半導體結構及其形成方法","本揭露提供一種半導體結構，包括：基底，具有第一導電類型；磊晶層，設置於基底上且具有第一導電類型，其中在磊晶層的上部具有突出結構；井區，設置於磊晶層中，且井區具有第二導電類型；絕緣結構，設置於突出結構的側壁上； 上電極層，圍繞突出結構，且上電極層電性連接至磊晶層及井區；以及下電極層，設置於基底下且與磊晶層相對。","Y2024","main","Yes","半導體技術","5347","半導體","2025-01-01",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.2326,94.9
"8","世界先進積體電路","2025-01-03","TWI823418B","2022-06-09","2023-11-21",98,"靜電放電保護電路","一種靜電放電（ESD）保護電路，其耦接接合墊與核心電路且包括ESD偵測電路、放電電路、開關、及控制電路。ESD偵測電路偵測在接合墊上是否發生ESD事件以在第一節點產生第一偵測信號。放電電路接收第一偵測信號且將第一偵測信號進行反相以產生第二偵測信號。當在接合墊上發生ESD事件，放電電路根據第二偵測信號提供介於接合墊與接地端之間的放電路徑。開關受控於控制信號。控制電路耦接於第一節點以接收第一偵測信號，且接收第二偵測信號，並根據第一與第二偵測信號產生控制信號。當在接合墊上發生ESD事件，控制電路產生控制信號以關斷開關。","Y2024","main","Yes","靜電卡盤技術","5347","半導體","2025-01-01",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.2326,94.9
"9","世界先進積體電路","2025-01-03","TWI813392B","2022-07-22","2023-08-21",82,"半導體裝置及其製作方法","一種半導體裝置，包括絕緣基層、半導體層、絕緣層、隔離溝渠及吸除部位。半導體層及絕緣層依序設置於絕緣基層之上，且隔離溝渠設置於半導體層中且貫穿絕緣層。隔離溝渠由上至下包括第一截面、第二截面及第三截面，第一截面高於絕緣層的底面，第二截面及第三截面低於絕緣層的底面。吸除部位設置於半導體層中且接觸隔離溝渠，吸除部位的頂點低於第二截面。","Y2024","main","Yes","半導體技術","5347","半導體","2025-01-01",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.2326,94.9
"10","世界先進積體電路","2025-01-03","TWI820979B","2022-10-25","2023-11-01",74,"半導體裝置","一種半導體裝置，包含高電子遷移率電晶體設置在環狀主動元件區中，以及電阻器設置在被環狀主動元件區圍繞的被動元件區中。高電子遷移率電晶體包含化合物半導體阻障層的第一部份堆疊在化合物半導體通道層的第一部份上，以及源極電極、閘極電極和汲極電極設置在化合物半導體阻障層的第一部份上。電阻器包含化合物半導體阻障層的第二部份堆疊在化合物半導體通道層的第二部份上，以及輸入端電極設置在化合物半導體阻障層的第二部份上，且位於被動元件區的中心。","Y2024","main","Yes","其他","5347","半導體","2025-01-01",NA,NA,NA,11.81,22.39,33.9,NA,NA,NA,NA,NA,0.2326,94.9
