資料截止日,演化階段,AI分類,申請人,公開公告號,申請日,標題,PR,股票代碼,收盤日,氣動值,單月營收成長,熱度值,季營收年增率%,季毛利年增率%,季營益年增率%,收盤價,法人平均成本,
2026-02-01,main,數位支付與金融科技,臺灣銀行,TWM677201U,2025-09-03,金鑰加密自動更新通知系統,,,,,,,,,,,,
2026-02-01,main,智慧電網,昕力資訊,TWM676825U,2025-08-26,閘道服務不中斷系統,,,,,,,,,,,,
2026-02-01,main,智慧電網,臺灣銀行,TWM677169U,2025-08-26,弱點管理系統,,,,,,,,,,,,
2026-02-01,main,半導體結構與製程,廣閎科技,TWM676330U,2025-08-07,半導體裝置,,6693,2026-02-11,0.37,46.2,6,25.59,-1.13,-16.76,85.9,80.1,
2026-02-01,main,邊緣運算,神通資訊科技,TWM675588U,2025-07-25,基於業務狀況授權使用AI模型的邊緣運算生態系統,,,,,,,,,,,,
2026-02-01,main,電源管理,立端科技,TWM677294U,2025-06-25,具有遠端管理功能的伺服器,,6245,2026-02-11,0.89,-24.77,3,-9.01,-21.95,-43.24,63,74.2,
2026-02-01,main,半導體結構與製程,加拿大商萬國半導體國際有限合夥公司,TW202602301A,2025-06-18,帶有溝槽內ESD結構的溝槽電晶體的製造,,,,,,,,,,,,
2026-02-01,main,記憶體與儲存裝置,英商ARM,TW202601655A,2025-06-16,記憶體的延時最佳化驅逐分配,,,,,,,,,,,,
2026-02-01,main,記憶體與儲存裝置,英商ARM,TW202601643A,2025-06-13,用於多埠暫存器檔案之電路,,,,,,,,,,,,
2026-02-01,main,晶圓封裝與測試,台達電子工業,TWM673708U,2025-05-22,IGBT封裝結構,,2308,2026-02-11,0.17,32.87,9,33.97,33.74,51.06,1260,684.9,
2026-02-01,main,記憶體與儲存裝置,南韓商三星電子,TW202548751A,2025-05-20,提供即時故障旗標之半導體記憶體裝置及其故障旗標提供方法,,,,,,,,,,,,
2026-02-01,main,半導體結構與製程,日商新電元工業,TW202549515A,2025-05-15,半導體裝置,,,,,,,,,,,,
2026-02-01,main,半導體結構與製程,美商英特爾,TW202602262A,2025-05-14,選擇性模板化對齊凹入式雙金屬閘極圖案化,,,,,,,,,,,,
2026-02-01,main,半導體結構與製程,南韓商三星電子,TW202549573A,2025-05-13,多堆疊半導體裝置,,,,,,,,,,,,
2026-02-01,main,智慧電網,合作金庫商業銀行,TWM672487U,2025-05-09,詐騙偵測系統,,,,,,,,,,,,
2026-02-01,main,半導體結構與製程,大陸商長鑫科技集團,TW202547315A,2025-05-09,半導體結構和半導體器件,,,,,,,,,,,,
2026-02-01,main,記憶體與儲存裝置,華邦電子,TW202546839A,2025-05-09,記憶裝置與錯誤位址快取及其方法,,2344,2026-02-11,0.28,94.16,8,2.15,62.74,1259.78,105.5,85.3,
2026-02-01,main,電腦視覺與影像處理,日商ZOZO,TW202601554A,2025-04-29,資訊處理裝置、資訊處理方法及資訊處理程式,,,,,,,,,,,,
2026-02-01,main,晶圓封裝與測試,台達電子工業,TWM673899U,2025-04-18,IGBT固定支架及其適用之封裝構件,,2308,2026-02-11,0.17,32.87,9,33.97,33.74,51.06,1260,684.9,
2026-02-01,main,半導體結構與製程,美商英特爾,TW202549559A,2025-04-18,自對準閘極切割,,,,,,,,,,,,
2026-02-01,main,電子產品檢測,美商微軟技術授權有限責任公司,TW202548772A,2025-04-16,使用內建測試及掃描電路清理系統內部記憶體及正反器的狀態,,,,,,,,,,,,
2026-02-01,main,半導體結構與製程,日商京瓷,TW202543425A,2025-04-10,半導體基板及其製造方法,,,,,,,,,,,,
2026-02-01,main,記憶體與儲存裝置,美商谷歌有限責任公司,TW202542919A,2025-04-10,備用記憶體中之早期失效偵測,,,,,,,,,,,,
2026-02-01,main,半導體結構與製程,日商瑞薩電子,TW202604280A,2025-04-08,半導體裝置及其製造方法,,,,,,,,,,,,
2026-02-01,main,邊緣運算,美商松下電器(美國)知識產權公司,TW202548673A,2025-04-08,編碼方法、解碼方法、編碼裝置及解碼裝置,,,,,,,,,,,,
2026-02-01,main,半導體結構與製程,新加坡商安靠科技新加坡控股私人,TW202604287A,2025-04-07,電子裝置及製造電子裝置的方法,,,,,,,,,,,,
2026-02-01,main,記憶體與儲存裝置,美商微晶片科技公司,TW202549323A,2025-04-07,實體層暫存器存取,,,,,,,,,,,,
