"","公司全名","專利號","申請日","獲證日","PR","標題","專利摘要","預測年份","主分支","台灣上市櫃","技術分類","股票代碼","產業別","資料時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本"
"1","中國大陸商長鑫存儲技術","TWI802432B","2022-06-07","2023-05-11",99,"半導體結構及其製作方法","本申請實施例提供一種半導體結構及其製作方法，半導體結構包括：摻雜導電層，所述摻雜導電層內摻雜有摻雜離子；金屬導電層，位於所述摻雜導電層上；含氮介質層，位於所述金屬導電層上；第一氮鉬化物層，位於所述摻雜導電層和所述金屬導電層之間，配置為電連接所述摻雜導電層和所述金屬導電層；第二氮鉬化物層，位於所述金屬導電層和所述含氮介質層之間，所述第二氮鉬化物層中氮原子的原子數占比大於所述第一氮鉬化物層中氮原子的原子數占比。本發明實施例有利於提升金屬導電層的導電性能。","Y2024","main","No","半導體結構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","中興工程顧問","TWI836967B","2023-04-19","2024-03-21",99,"三維元件碰撞調整系統及其方法","本發明係關於一種三維元件碰撞調整系統，利用一選擇模組以選擇一三維圖中的一第一三維元件，再由一檢查模組執行一碰撞檢查程序，以確認該第一三維元件與該三維圖中未被選擇的任一第二三維元件是否存在至少一重疊區域，當該檢查模組確認存在時，該檢查模組則紀錄該重疊區域並生成一碰撞資訊，以經由一調整模組根據一閃避規則調整位於該重疊區域中的該第一三維元件或是該第二三維元件，消除該第一三維元件與該第二三維元件之間的該重疊區域。藉此即可快速尋找三維元件之間的碰撞點，且根據相關閃避規則調整其碰撞處，進而達成消除碰撞點之功效。","Y2024","branch","No","其他",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","中華電信","TWI805438B","2022-07-08","2023-06-11",99,"電子文件的存取權限的管理系統和管理方法","提出一種電子文件的存取權限的管理系統和管理方法。方法包含：由雲端伺服器儲存第一刪減文件的雜湊值、機密資料的密文、對應於機密資料的權限等級以及對應於機密資料的索引，第一刪減文件包含對應於索引的刪減區域；由第一終端裝置儲存第一刪減文件，並且自雲端伺服器接收雜湊值、密文、權限等級以及索引；由第一終端裝置響應於雜湊值與第一刪減文件匹配而根據索引、權限等級和密文還原第一刪減文件的刪減區域，從而產生第二刪減文件；以及由第一終端裝置傳送第二刪減文件至雲端伺服器。","Y2024","main","Yes","其他","2412","通信網路業","2024-10-30",0.56,5.32,8,1.22,2.17,-2.72,112.3,117.8,124,122,116.8
"4","力晶積成電子製造","TWI798825B","2021-09-11","2023-04-11",99,"半導體元件的製造方法","一種半導體元件的製造方法，包括以下步驟。首先，提供基底，其中在基底的定義為高壓半導體元件的區域中，形成有第一井區、第二井區以及雙重擴散區，其中第二井區與雙重擴散區位於第一井區中。接著，在基底中形成隔離結構。之後，在基底的定義為中壓半導體元件的區域中進行第一氧化製程。然後，在基底的定義為低壓半導體元件的區域中進行第二氧化製程。而後，在基底上形成閘極結構，其中閘極結構覆蓋部分的隔離結構。之後，在基底中形成源極區與汲極區，其中源極區位於第一井區中且設置於閘極結構的一側，汲極區位於雙重擴散區中且設置於閘極結構的另一側。本實施例的半導體元件的製造方法更包括在基底中形成隔離結構之後於第一井區中形成降低表面電場區，其中降低表面電場區嵌入於雙重擴散區，且降低表面電場區為在進行第一氧化製程、進行第二氧化製程或形成源極區與汲極區的步驟中形成。","Y2024","main","Yes","半導體封裝技術","6770","半導體","2024-10-30",0.89,11.42,4,1.04,-68.33,-3261.64,22.9,28.7,19.7,18,24.6
"5","南亞科技","TWI825737B","2022-05-24","2023-12-11",99,"具有複合導電特徵的半導體元件及其製備方法","本揭露提供一種半導體元件及其製備方法。該半導體元件具有一第一半導體結構以及一第一連接結構，其中該第一連接結構包括一第一連接隔離層、二第一導電層以及一第一多孔層，該第一連接隔離層設置在該第一半導體結構上，該二第一導電層設置在該第一連接隔離層中，該第一多孔層設置在該二第一導電層之間。該第一多孔層的一孔隙率介於大約25%到大約100%之間。該第一半導體結構包括多個第一複合導電特徵，其中至少一個第一複合導電特徵包括一第一保護襯墊、一第一石墨襯墊以及一第一核心導體，該第一石墨襯墊設置在該第一保護襯墊中，該第一核心導體設置在該第一石墨襯墊中。","Y2024","main","Yes","半導體封裝技術","2408","半導體","2024-10-30",1.19,-5.12,7,41.18,136.4,27.17,55.2,60.1,44.3,42.3,55
"6","南韓商LG顯示器","TWI820517B","2021-11-16","2023-11-01",99,"顯示裝置","根據本發明的一態樣，顯示裝置包括：一下部基板；以及複數個像素基板，設置在下部基板上。顯示裝置還包括：複數個電晶體，設置在複數個像素基板上；以及一平坦化層，設置在複數個像素基板上以覆蓋複數個電晶體的上部。顯示裝置進一步包括：複數個獨立連接墊，設置在平坦化層上；以及一共用連接墊。顯示裝置還包括：複數個發光二極體，設置在複數個獨立連接墊及共用連接墊上。複數個獨立連接墊及共用連接墊中的至少一個可以具有一多層結構。","Y2024","main","No","顯示技術",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","南韓商普因特工程","TWI818449B","2022-02-24","2023-10-11",99,"導電接觸針組合與其製造方法","本發明提供一種藉由利用微電機系統（MEMS）製程一次性製作導電接觸針與殼體從而可精密地管理導電接觸針與殼體間的微細縫隙的導電接觸針組合與其製造方法。","Y2024","main","No","微機電裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","台灣積體電路製造","TWI763595B","2021-09-30","2022-05-01",99,"測量圖案以及用於測量結合晶圓的疊對位移的方法","一種測量圖案，其用於監測結合晶圓的疊對位移，所述結合晶圓包括頂部晶圓圖案以及底部晶圓圖案。頂部晶圓圖案包括第一部分，其具有沿著第一軸測量的寬度Wx1。底部晶圓圖案包括第一部件，其具有沿著第一軸測量的寬度Wx2，其中頂部晶圓圖案的第一部分與底部晶圓圖案的第一部件間隔目標距離Dx，且其中測量圖案滿足以下測量公式:","Y2024","main","Yes","蝕刻技術","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
"9","台灣積體電路製造","TWI776698B","2021-10-04","2022-09-01",99,"晶片封裝結構及其形成方法","提供一種晶片封裝結構。 晶片封裝結構包括導線基板。 晶片封裝結構包括位於導線基板上的中介基板。 中介基板包括重分佈結構、介電層、導電導孔，以及複數個第一虛設導孔，介電層位於重分佈結構上，導電導孔及這些第一虛設導孔穿過介電層，第一虛設導孔環繞導電導孔，這些第一虛設導孔與導線基板電性絕緣。 晶片封裝結構包括中介基板上的晶片結構。 晶片結構與導電導孔電性連接，並且晶片結構與這些第一虛設導孔電性絕緣。","Y2024","main","Yes","半導體封裝技術","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
"10","台灣積體電路製造","TWI801168B","2022-03-17","2023-05-01",99,"積體電路晶片及其形成方法","本揭示之各種的實施例係指向一種積體電路(IC)晶片，於其中，一襯墊障壁層帽蓋於一壓電裝置之一襯墊。襯墊障壁層係被配置成阻擋氫離子及/或其它錯誤材料擴散至壓電層。在沒有襯墊障壁層的情況下，來自在形成襯墊之後實行之含氫離子製程的氫離子會沿著從襯墊延伸至壓電裝置之穿孔擴散至壓電層。藉由阻擋氫離子及/或其它錯誤材料擴散至壓電裝置，襯墊障壁層可防止壓電層之脫層及崩潰。因此，襯墊障壁層可防止壓電裝置失效。","Y2024","main","Yes","半導體封裝技術","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
"11","台灣積體電路製造","TWI805326B","2022-04-14","2023-06-11",99,"半導體裝置和製造半導體裝置的方法","一種製造半導體裝置的方法包括在半導體基板上方沉積多層堆疊，多層堆疊包括與複數個通道層交替的複數個犧牲層；在多層堆疊中形成第一凹陷處；在第一凹陷處中的這些犧牲層的側壁上形成多個第一間隔物；在第一凹陷處中沉積第一半導體材料，其中第一半導體材料是未摻雜的，其中第一半導體材料與第一間隔物中的至少一者的側壁和底表面物理性接觸。在第一半導體材料內佈植摻質，其中在佈植摻質之後，第一半導體材料具有梯度摻雜的分佈；以及在第一半導體材料上方在第一凹陷處中形成外延的源極/汲極區域，其中外延的源極/汲極區域的材料不同於第一半導體材料。","Y2024","main","Yes","半導體結構","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
"12","台灣積體電路製造","TWI812241B","2022-05-26","2023-08-11",99,"製造半導體裝置的方法及半導體裝置","一半導體裝置，包括：一第一層間介電(ILD)層，設置於一基體上方；一控制層，設置於第一ILD層上方且含有矽及氧；以及一電阻器導線，設置於控制層上方。控制層之一氧濃度係大於第一ILD層之一氧濃度。","Y2024","main","Yes","半導體封裝技術","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
"13","台灣積體電路製造","TWI817431B","2022-04-06","2023-10-01",99,"半導體結構及其形成方法","提供半導體結構和製造製程。根據本發明實施例的半導體包含第一區和抵接第一區的第二區，第一區包含沿著第一方向延伸的第一鰭片、第二鰭片和第三鰭片。第二區包含沿著第一方向延伸的第四鰭片和第五鰭片。第一鰭片與第四鰭片對準，並且第二鰭片與第五鰭片對準。第三鰭片在第一區和第二區之間的界面處終止。","Y2024","main","Yes","半導體結構","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
"14","台灣積體電路製造","TWI818315B","2021-09-16","2023-10-11",99,"半導體裝置及其形成方法","一種半導體裝置，包括：半導體基板以及通道層的堆疊在半導體基板上。最頂部通道層的頂表面沿著相對於基板表面的第一高度延伸。最底部通道層的底表面沿著相對於基板表面的第二高度延伸。裝置更包括閘極結構，嚙合通道層的堆疊且沿著第一方向延伸。額外地，裝置包括源極/汲極部件，在通道層的堆疊的第一側壁表面上以及在基板上，第一側壁表面平行於第一方向延伸。此外，源極/汲極部件在第一高度具有沿著第一方向的第一寬度，且在第二高度具有沿著第一方向的第二寬度，以及其中第一寬度大於第二寬度。","Y2024","main","Yes","半導體結構","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
"15","台灣積體電路製造","TWI822189B","2022-07-18","2023-11-11",99,"積體電路晶片以及用於製造互連結構的方法","提供一種積體電路晶片以及密封環結構。根據本揭露的積體電路晶片包括互連結構，互連結構包括沿著第一方向延伸的第一金屬線、第二金屬線、第三金屬線、第四金屬線以及第五金屬線，第一組橫向連接器設置在第二金屬線以及第三金屬線之間或第四金屬線以及第五金屬線之間，且第二組橫向連接器設置在第一金屬線以及第二金屬線之間或第三金屬線以及第四金屬線之間。","Y2024","main","Yes","互連結構","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
"16","台灣積體電路製造","TWI825917B","2022-08-12","2023-12-11",99,"用於三維積體電路電源分配的方法及半導體裝置","本發明提供了用於三維積體電路電源分配的結構及方法及半導體裝置。實施例通過裝置的各種被動部件提供經調節的電源路徑。在一個實施例中，被動部件包括可以形成在晶粒堆疊的封裝材料中的穿孔壁。在另一個實施例中，被動部件包括形成在晶粒堆疊上方的散熱部件。在另一個實施例中，被動部件包括附接在晶粒立方體附近的虛設通孔方塊。其他實施例可以無限制地組合這些實施例的部件。","Y2024","main","Yes","半導體封裝技術","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
"17","台灣積體電路製造","TWI831135B","2022-02-22","2024-02-01",99,"積體電路和控制時脈信號的方法","一種積體電路，包括時脈電晶體、第一致能電晶體、第二致能電晶體、分支一電晶體、分支二電晶體以及時脈選通電路。第一致能電晶體耦接在時脈電晶體和第一節點之間。第二致能電晶體耦接在時脈電晶體和第二節點之間。分支一電晶體耦接在第一電源和第一節點之間。分支一電晶體的閘極端電性連接至第二節點。分支二電晶體耦接在第一電源和第二節點之間。分支二電晶體的閘極端電性連接至第一節點。用於生成經選通時脈信號的時脈選通電路接收鎖存輸出信號，鎖存輸出信號被鎖存於第一節點信號或第二節點信號的邏輯準位。","Y2024","main","Yes","半導體結構","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
"18","台灣積體電路製造","TWI837803B","2022-09-05","2024-04-01",99,"半導體結構及其製造方法","示例性方法包括在半導體高台上形成具有半導體層堆疊的半導體鰭。半導體疊層包括第一半導體層、第二半導體層，並且第一半導體層位於半導體高台與第二半導體層之間。方法更包括形成相鄰半導體高台的隔離部件以及沿半導體層堆疊的側壁形成半導體覆層。半導體覆層在半導體高台的頂面下方延伸，並且隔離部件的一部分在半導體覆層和半導體高台的側壁之間。方法更包括在通道區中，用閘極堆疊取代半導體鰭的第一半導體層和半導體覆層。隔離部件的部分位於閘極堆疊和半導體高台的側壁之間。","Y2024","main","Yes","半導體結構","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
"19","台灣積體電路製造","TWI839218B","2023-05-12","2024-04-11",99,"半導體裝置結構及其形成方法","半導體裝置結構及其形成方法描述如下。結構包含：第一介電層，包含設置在基板的主動區中的源極/汲極區上方的第一部分及位於基板的電阻器區中的層間介電質(ILD)上方的調變部分，第一介電層的第一部分具有第一成分，且第一介電層的調變部分具有不同於第一成分的第二成分。結構進一步包含：電阻器層，設置在電阻器區中的第一介電層的調變部分上；及第二介電層，設置在主動區中的第一介電層上方及電阻器區中的電阻器層上方。","Y2024","main","Yes","半導體結構","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
"20","台灣積體電路製造","TWI840815B","2022-05-25","2024-05-01",99,"半導體裝置及其製造方法","在基底的前側上方形成複數個第一半導體層及複數個第二半導體層。第一半導體層和第二半導體層在垂直方向交錯。蝕刻第一半導體層及第二半導體層為堆疊物，進行蝕刻使得最底部第一半導體層在剖面示意圖中具有漸縮輪廓。以介電層取代最底部第一半導體層，介電層承襲最底部第一半導體層的漸縮輪廓。在堆疊物上方形成閘極結構，閘極結構在第一水平方向延伸；在閘極結構上方形成第一互連結構；在基底的背側上方形成第二互連結構。","Y2024","main","Yes","半導體結構","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
"21","台灣積體電路製造","TWI842343B","2023-01-17","2024-05-11",99,"裝置封裝、半導體封裝及封裝方法","提供一種裝置封裝、半導體封裝和封裝方法。裝置封裝，包括包含第一接合層的第一半導體裝置；接合到第一半導體裝置的第一接合層的第二半導體裝置；設置在第二半導體裝置旁邊及第一接合層上的多個散熱結構，其中散熱結構包括導電材料，其中散熱結構與第一半導體裝置及第二半導體裝置電性絕緣；設置在第一接合層上的封裝膠，其中封裝膠圍繞第二半導體裝置並且圍繞多個散熱結構；以及設置在封裝膠、多個散熱結構和第二半導體裝置上方的第二接合層。","Y2024","main","Yes","半導體封裝技術","2330","半導體","2024-10-30",0.35,39.6,10,40.07,37.63,41.89,469.6,509.8,1018.6,1030,595.5
